username,full_name,email,password,bio,city,profile_image_url,total_points,total_events
braddd,Davide Dellacasa,braddd@example.com,zkXb5bw8lUFy_A,"Halo, saya Davide Dellacasa",sukabumi,https://images.unsplash.com/photo-1759354001829-233b2025c6b2?q=80&w=687&auto=format&fit=crop,0,0
eKoeS,Simone Economo,eKoeS@example.com,AB7SRPxMUMOjXA,"Halo, saya Simone Economo",bitung,https://images.unsplash.com/photo-1759354001829-233b2025c6b2?q=80&w=687&auto=format&fit=crop,0,0
tacone_,tacone,tacone_@example.com,yPbGBJAZKTcJHA,"Halo, saya tacone",bandung,https://images.unsplash.com/photo-1759354001829-233b2025c6b2?q=80&w=687&auto=format&fit=crop,0,0
alesstar,alesaura,alesstar@example.com,6lKXOuXZUG1yyQ,"Halo, saya alesaura",tidore_kepulauan,https://images.unsplash.com/photo-1759354001829-233b2025c6b2?q=80&w=687&auto=format&fit=crop,0,0
PerDiletto,Angelo,PerDiletto@example.com,UIEYjIokMGtNnQ,"Halo, saya Angelo",kendari,https://images.unsplash.com/photo-1759354001829-233b2025c6b2?q=80&w=687&auto=format&fit=crop,0,0
crispaol,CRISTIAN PAOLINI,crispaol@example.com,HQTAKkKxTGJDjQ,"Halo, saya CRISTIAN PAOLINI",jakarta_utara,https://images.unsplash.com/photo-1759354001829-233b2025c6b2?q=80&w=687&auto=format&fit=crop,0,0
tmpx,tmpx,tmpx@example.com,j7tRv88qRRkxPQ,"Halo, saya tmpx",jakarta_pusat,https://images.unsplash.com/photo-1759354001829-233b2025c6b2?q=80&w=687&auto=format&fit=crop,0,0
Igor99,igor,Igor99@example.com,m6FWF918hPE_RQ,"Halo, saya igor",bontang,https://images.unsplash.com/photo-1759354001829-233b2025c6b2?q=80&w=687&auto=format&fit=crop,0,0
marcomassarotto,Marco Massarotto,marcomassarotto@example.com,i5Yi9_TRYJVWzw,"Halo, saya Marco Massarotto",tidore_kepulauan,https://images.unsplash.com/photo-1759354001829-233b2025c6b2?q=80&w=687&auto=format&fit=crop,0,0
personanormale,Antonio Parisi,personanormale@example.com,aw_3O58xtE_JbQ,"Halo, saya Antonio Parisi",binjai,https://images.unsplash.com/photo-1759354001829-233b2025c6b2?q=80&w=687&auto=format&fit=crop,0,0
